date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,open_interest,oi_change_rate,signal,position_scale,is_effective_signal
2023-07-21,214134.19913419912,no_trend,,0,,41,oi_change_rate,,8085.0,,0,1.0,0
2023-07-24,201296.54778235024,up_trend,1.0,0,,41,oi_change_rate,62.30055658627087,13122.0,62.30055658627087,0,1.0,0
2023-07-25,216694.29427430092,up_trend,1.0,0,,41,oi_change_rate,14.464258497180307,15020.0,14.464258497180307,0,1.0,0
2023-07-26,219563.98194099808,up_trend,1.0,0,,41,oi_change_rate,-3.4087882822902795,14508.0,-3.4087882822902795,1,0.7,0
2023-07-27,217538.3747103608,up_trend,1.0,0,,41,oi_change_rate,4.114971050454922,15105.0,4.114971050454922,0,1.0,0
2023-07-28,220461.82341001357,up_trend,1.0,0,,41,oi_change_rate,-2.1516054286660045,14780.0,-2.1516054286660045,1,0.7,0
2023-07-31,220703.6020638504,up_trend,1.0,1,1.0,41,oi_change_rate,4.905277401894452,15505.0,4.905277401894452,0,1.0,0
2023-08-01,221433.656545037,up_trend,1.0,1,1.0,41,oi_change_rate,1.1028700419219606,15676.0,1.1028700419219606,0,1.0,0
2023-08-02,221913.28229665072,up_trend,1.0,1,1.0,41,oi_change_rate,-0.006379178361826996,15675.0,-0.006379178361826996,1,0.7,1
2023-08-03,223249.91373998765,down_trend,2.0,1,1.0,41,oi_change_rate,3.5406698564593304,16230.0,3.5406698564593304,0,1.0,0
2023-08-04,222707.8457608564,down_trend,2.0,1,1.0,41,oi_change_rate,1.306223043746149,16442.0,1.306223043746149,0,1.0,0
2023-08-07,213933.16142895515,down_trend,2.0,1,1.0,41,oi_change_rate,13.216153752584844,18615.0,13.216153752584844,0,1.0,0
2023-08-08,211639.1597789407,down_trend,2.0,0,,41,oi_change_rate,9.841525651356434,20447.0,9.841525651356434,0,1.0,0
2023-08-09,212657.0317916213,down_trend,2.0,0,,41,oi_change_rate,-1.2373453318335208,20194.0,-1.2373453318335208,1,0.7,0
2023-08-10,206395.3513174404,down_trend,2.0,0,,41,oi_change_rate,18.401505397642865,23910.0,18.401505397642865,0,1.0,0
2023-08-11,204917.29295378117,down_trend,2.0,0,,41,oi_change_rate,6.959431200334588,25574.0,6.959431200334588,0,1.0,0
2023-08-14,193643.2345381271,down_trend,2.0,0,,41,oi_change_rate,23.222804410729648,31513.0,23.222804410729648,0,1.0,0
2023-08-15,189680.8139697453,down_trend,2.0,0,,41,oi_change_rate,13.486497635896297,35763.0,13.486497635896297,0,1.0,0
2023-08-16,191747.30923578836,down_trend,2.0,0,,41,oi_change_rate,-3.1485054385817746,34637.0,-3.1485054385817746,1,0.7,0
2023-08-17,189797.6065547304,down_trend,2.0,0,,41,oi_change_rate,7.295666483817882,37164.0,7.295666483817882,0,1.0,0
2023-08-18,191523.40382269217,down_trend,2.0,0,,41,oi_change_rate,-7.367344742223657,34426.0,-7.367344742223657,1,0.7,0
2023-08-21,197116.13041744623,down_trend,2.0,0,,41,oi_change_rate,-5.2954162551559865,32603.0,-5.2954162551559865,1,0.7,0
2023-08-22,194571.815011419,down_trend,2.0,0,,41,oi_change_rate,-0.6165076833420238,32402.0,-0.6165076833420238,1,0.7,0
2023-08-23,196128.50058430465,down_trend,2.0,0,,41,oi_change_rate,2.9967285970001853,33373.0,2.9967285970001853,0,1.0,0
2023-08-24,195419.81314730016,down_trend,2.0,0,,41,oi_change_rate,-2.4990261588709437,32539.0,-2.4990261588709437,1,0.7,0
2023-08-25,190778.92248989124,down_trend,2.0,0,,41,oi_change_rate,7.92587356710409,35118.0,7.92587356710409,0,1.0,0
2023-08-28,182823.25598746547,down_trend,2.0,0,,41,oi_change_rate,14.496839227746456,40209.0,14.496839227746456,0,1.0,0
