date,close,trend,segment_id,is_reversal_window,reversal_segment_id,factor_id,factor_name,factor_value,speculation,speculation_first_diff,speculation_down_flag,speculation_down_days,speculation_down_streak,signal,position_scale,is_effective_signal
2023-07-21,214134.19913419912,no_trend,,0,,23,speculation_continuous_drop,,2.091107917975069,,,,0,0,1.0,0
2023-07-24,201296.54778235024,up_trend,1.0,0,,23,speculation_continuous_drop,,1.4143789712621873,-0.6767289467128816,1.0,,1,0,1.0,0
2023-07-25,216694.29427430092,up_trend,1.0,0,,23,speculation_continuous_drop,,1.598095534571003,0.1837165633088158,0.0,,0,0,1.0,0
2023-07-26,219563.98194099808,up_trend,1.0,0,,23,speculation_continuous_drop,1.0,2.025216349105437,0.42712081453443385,0.0,1.0,0,0,1.0,0
2023-07-27,217538.3747103608,up_trend,1.0,0,,23,speculation_continuous_drop,2.0,1.176569968274467,-0.8486463808309699,1.0,2.0,1,0,1.0,0
2023-07-28,220461.82341001357,up_trend,1.0,0,,23,speculation_continuous_drop,3.0,1.137255999052689,-0.0393139692217781,1.0,3.0,2,0,1.0,0
2023-07-31,220703.6020638504,up_trend,1.0,1,1.0,23,speculation_continuous_drop,3.0,0.8447978475536825,-0.29245815149900645,1.0,3.0,3,0,1.0,0
2023-08-01,221433.656545037,up_trend,1.0,1,1.0,23,speculation_continuous_drop,4.0,0.3455711668003232,-0.4992266807533593,1.0,4.0,4,1,0.5,1
2023-08-02,221913.28229665072,up_trend,1.0,1,1.0,23,speculation_continuous_drop,5.0,0.0777876826569847,-0.26778348414333847,1.0,5.0,5,1,0.5,1
2023-08-03,223249.91373998765,down_trend,2.0,1,1.0,23,speculation_continuous_drop,4.0,0.278676766271454,0.20088908361446928,0.0,4.0,0,1,0.5,1
2023-08-04,222707.8457608564,down_trend,2.0,1,1.0,23,speculation_continuous_drop,4.0,-0.1709041956432761,-0.44958096191473007,1.0,4.0,1,1,0.5,1
2023-08-07,213933.16142895515,down_trend,2.0,1,1.0,23,speculation_continuous_drop,3.0,0.5882044007797698,0.7591085964230458,0.0,3.0,0,0,1.0,0
2023-08-08,211639.1597789407,down_trend,2.0,0,,23,speculation_continuous_drop,3.0,0.4416301173252139,-0.14657428345455586,1.0,3.0,1,0,1.0,0
2023-08-09,212657.0317916213,down_trend,2.0,0,,23,speculation_continuous_drop,3.0,0.2944802454904577,-0.1471498718347562,1.0,3.0,2,0,1.0,0
2023-08-10,206395.3513174404,down_trend,2.0,0,,23,speculation_continuous_drop,3.0,0.3464598352495612,0.051979589759103495,0.0,3.0,0,0,1.0,0
2023-08-11,204917.29295378117,down_trend,2.0,0,,23,speculation_continuous_drop,2.0,0.7545857171442018,0.40812588189464055,0.0,2.0,0,0,1.0,0
2023-08-14,193643.2345381271,down_trend,2.0,0,,23,speculation_continuous_drop,3.0,0.5485525533084864,-0.20603316383571535,1.0,3.0,1,0,1.0,0
2023-08-15,189680.8139697453,down_trend,2.0,0,,23,speculation_continuous_drop,2.0,0.8881893576869988,0.3396368043785124,0.0,2.0,0,0,1.0,0
2023-08-16,191747.30923578836,down_trend,2.0,0,,23,speculation_continuous_drop,2.0,0.8555210234584508,-0.03266833422854798,1.0,2.0,1,0,1.0,0
2023-08-17,189797.6065547304,down_trend,2.0,0,,23,speculation_continuous_drop,3.0,0.6625747876374212,-0.19294623582102965,1.0,3.0,2,0,1.0,0
2023-08-18,191523.40382269217,down_trend,2.0,0,,23,speculation_continuous_drop,4.0,0.2623910774735881,-0.4001837101638331,1.0,4.0,3,1,0.5,0
2023-08-21,197116.13041744623,down_trend,2.0,0,,23,speculation_continuous_drop,3.0,0.6506022352624492,0.3882111577888611,0.0,3.0,0,0,1.0,0
2023-08-22,194571.815011419,down_trend,2.0,0,,23,speculation_continuous_drop,4.0,0.5788551278390585,-0.07174710742339074,1.0,4.0,1,1,0.5,0
2023-08-23,196128.50058430465,down_trend,2.0,0,,23,speculation_continuous_drop,4.0,0.2350757936929626,-0.34377933414609585,1.0,4.0,2,1,0.5,0
2023-08-24,195419.81314730016,down_trend,2.0,0,,23,speculation_continuous_drop,4.0,0.1654618274742042,-0.0696139662187584,1.0,4.0,3,1,0.5,0
