symbol,factor_id,factor_name,segment_id,trend,start_date,end_date,end_signal_date,start_close,end_close,end_signal_close,has_signal,has_effective_signal,trade_return,base_trade_return,max_profit_before_end,profit_at_exit,profit_giveback,win
LC,21,speculation_change_rate,1,up_trend,2023-07-24,2023-08-03,2023-08-07,201296.54778235024,223249.91373998765,213933.16142895515,0,0,-0.05425058040871944,-0.05425058040871944,0.10905982342714715,0.06277610712066517,0.42438832974454505,0
LC,21,speculation_change_rate,2,down_trend,2023-08-03,2023-09-27,2023-10-11,223249.91373998765,140785.90414311024,148356.2540127733,1,1,0.3830594666970444,0.39939395102201525,0.5857405263601669,0.5048230708276449,0.13814556427459246,1
LC,21,speculation_change_rate,3,up_trend,2023-09-27,2023-10-13,2023-10-18,140785.90414311024,159604.77838890062,153207.98823114813,1,1,0.032996285279634385,0.03239571200234215,0.13367015938371796,0.08823386235748942,0.33991353968388416,1
LC,21,speculation_change_rate,4,down_trend,2023-10-13,2023-12-05,2023-12-07,159604.77838890062,91488.87545841128,95331.93392971825,1,1,0.5919261382968444,0.5856400765208547,0.7445266169158813,0.6742005727751876,0.0944573941923144,1
LC,21,speculation_change_rate,5,down_trend,2023-12-13,2023-12-21,2023-12-25,105012.27001922044,97269.5430794462,102100.52780946268,0,0,-0.15691756055180417,-0.15691756055180417,0.07960073312414195,0.028518385479765263,0.6417321253148612,0
LC,21,speculation_change_rate,6,up_trend,2023-12-21,2024-01-02,2024-01-04,97269.5430794462,107455.72087803832,100109.5650870054,0,0,0.024035507094898545,0.024035507094898545,0.10472114370139907,0.02919744369765942,0.7211886476248507,1
LC,21,speculation_change_rate,7,down_trend,2024-01-02,2024-01-08,2024-01-11,107455.72087803832,96598.67900900664,103962.28880612228,0,0,-0.027456674806747072,-0.027456674806747072,0.11239327473639049,0.0336028776591375,0.701024124993685,0
LC,21,speculation_change_rate,8,down_trend,2024-01-11,2024-02-20,2024-02-21,103962.28880612228,92872.2501205509,96882.24540344122,1,1,-0.06435976365822571,-0.06637097531206981,0.11941175831506379,0.0730788533358,0.388009569853381,0
LC,21,speculation_change_rate,9,up_trend,2024-02-20,2024-03-01,2024-03-05,92872.2501205509,119227.0197740562,111502.8476740102,1,1,0.18414565254182436,0.2011474704751841,0.28377442798355834,0.20060456734144205,0.2930844094483915,1
LC,21,speculation_change_rate,10,up_trend,2024-03-05,2024-03-12,2024-03-14,111502.8476740102,119641.97952520676,112022.82809349798,0,0,-0.06071974874393815,-0.06071974874393815,0.0729948339525115,0.0046633824187880535,0.9361135279542944,0
LC,21,speculation_change_rate,11,up_trend,2024-03-14,2024-03-21,2024-03-25,112022.82809349798,117150.57303903022,107366.8720415848,0,0,-0.09109378767350307,-0.09109378767350307,0.04577410723154074,-0.04156256480176679,1.9079929094308588,0
LC,21,speculation_change_rate,12,down_trend,2024-03-21,2024-03-29,2024-04-01,117150.57303903022,107153.30544336088,112500.4832019566,1,1,-0.09178464167019806,-0.09178464167019806,0.09329873263642541,0.041333954350453395,0.556971963257774,0
LC,21,speculation_change_rate,13,up_trend,2024-03-29,2024-04-10,2024-04-16,107153.30544336088,115969.12561345406,108422.30803054072,1,1,-0.029932461862769988,-0.024269127770706334,0.08227296520267458,0.011842869260347832,0.8560539390895463,0
LC,21,speculation_change_rate,14,down_trend,2024-04-10,2024-04-19,2024-04-29,115969.12561345406,107978.62317880044,115988.79717510032,1,1,-0.05116834533206738,-0.052907231397258725,0.07400078088995676,-0.00016959880717237752,1.0022918515876822,0
LC,21,speculation_change_rate,15,up_trend,2024-04-19,2024-04-29,2024-05-10,107978.62317880044,115988.79717510032,109118.61716716952,0,0,-0.014776778131867063,-0.014776778131867063,0.07418296103883404,0.010557589593278793,0.8576817446293091,0
LC,21,speculation_change_rate,16,down_trend,2024-04-29,2024-05-15,2024-05-24,115988.79717510032,103961.9134405348,108631.95809717664,1,1,-0.07528487317736232,-0.08188642123575607,0.11568547881186109,0.06772260398125773,0.41459719338332185,0
LC,21,speculation_change_rate,17,up_trend,2024-05-15,2024-05-24,2024-06-03,103961.9134405348,108631.95809717664,104232.8337393877,0,0,-0.013809004087383947,-0.013809004087383947,0.044920726274560785,0.002605957219206756,0.9419876427803318,0
LC,21,speculation_change_rate,18,down_trend,2024-05-24,2024-06-24,2024-06-26,108631.95809717664,91948.8888557649,96328.86233091856,1,1,0.060577274740710285,0.0707584055352175,0.18143850838242903,0.12771972458257896,0.29607156870262463,1
LC,21,speculation_change_rate,19,down_trend,2024-06-26,2024-08-15,2024-08-21,96328.86233091856,73109.08419046688,78538.71756378718,1,0,0.12555130784499657,0.14063988854217246,0.3176045548588535,0.2265143271875132,0.28680390843834624,1
LC,21,speculation_change_rate,20,up_trend,2024-08-15,2024-08-21,2024-08-23,73109.08419046688,78538.71756378718,74170.68976556571,1,1,-0.058955523500251905,-0.058955523500251905,0.0742675610485668,0.014520843570315911,0.8044793262994041,0
LC,21,speculation_change_rate,21,up_trend,2024-08-23,2024-08-30,2024-09-02,74170.68976556571,79670.3611412982,76063.51256469205,1,1,-0.06706163599780901,-0.07078932857008846,0.07414885034931618,0.025519821982363355,0.6558298360373876,0
LC,21,speculation_change_rate,22,down_trend,2024-08-30,2024-09-05,2024-09-11,79670.3611412982,71637.97283115204,79206.53066241814,1,1,-0.004647679242367531,0.00046950239640697333,0.11212472928398154,0.005855962570269879,0.947772782974233,0
LC,21,speculation_change_rate,23,up_trend,2024-09-05,2024-09-11,2024-09-23,71637.97283115204,79206.53066241814,75969.96293712065,0,0,0.018112553873582682,0.018112553873582682,0.10565008377756446,0.06047058472995803,0.4276333480504122,1
LC,21,speculation_change_rate,24,down_trend,2024-09-11,2024-09-23,2024-09-30,79206.53066241814,75969.96293712065,81153.9695800031,1,1,-0.10556918908533175,-0.11746470812559984,0.042603255288887754,-0.023996841160864535,1.563263088657069,0
LC,21,speculation_change_rate,25,up_trend,2024-09-23,2024-09-30,2024-10-10,75969.96293712065,81153.9695800031,75780.37389367344,1,1,-0.0380378326333094,-0.03798644465187917,0.06823758288750503,-0.002495578990924785,1.0365719136775249,0
LC,21,speculation_change_rate,26,down_trend,2024-09-30,2024-10-17,2024-10-23,81153.9695800031,71155.55012631086,74712.96420826833,1,1,-0.06482794673442094,-0.07403167076739847,0.14051496244416173,0.08621000973512394,0.38647096198469016,0
LC,21,speculation_change_rate,27,up_trend,2024-10-17,2024-11-13,2024-11-14,71155.55012631086,86234.36081249446,81229.98394945613,1,1,0.11539758561978997,0.13413962342493746,0.21191334561276864,0.14158324691836088,0.3318814041231865,1
