date,open,close,high,low,volume,total_turnover,open_interest,speculation,threshold,realtime_trend,realtime_position,realtime_segment_id,trend,segment_id,is_reversal_window,reversal_segment_id,reversal_trend,is_uptrend_reversal_window,is_downtrend_reversal_window,factor_id,factor_name,factor_value,ret_3,realtime_trend_age,close_rank_20,close_rank_60,oi_ret_3,volume_mad_score,range_pct,range_mad_score,close_location,range_climax_score,signal,position_scale,is_effective_signal,daily_return,base_position,reduce_signal,strategy_position,base_return,strategy_return,base_nav,strategy_nav,base_running_max,strategy_running_max,base_drawdown,strategy_drawdown
2023-07-21,235420.71047957373,214134.19913419912,236919.3605683836,213488.42216731375,65439.0,14410336300.0,8085.0,2.091107917975069,0.02,no_trend,0.0,,no_trend,,0,,,0,0,44,uptrend_range_climax,0.0,,0,,,,,0.1094217481178031,,0.0275608665701535,0.0,0,1.0,0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2023-07-24,210553.2268650186,201296.54778235024,210904.59418070444,200627.7813712807,53983.0,11106616100.0,13122.0,1.4143789712621873,0.02,down_trend,-1.0,1.0,up_trend,1.0,0,,,0,0,44,uptrend_range_climax,0.0,,1,,,,,0.0510531001283511,,0.0650752741605154,0.0,0,1.0,0,-0.05995142954163735,1.0,0.0,1.0,-0.05995142954163735,-0.05995142954163735,0.9400485704583627,0.9400485704583627,1.0,1.0,-0.05995142954163735,-0.05995142954163735
2023-07-25,201523.5243597752,216694.29427430092,217194.2201056821,201036.35618363527,74253.0,16208692800.0,15020.0,1.598095534571003,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,44,uptrend_range_climax,0.0,,1,,,,,0.0745652485966866,,0.9690599058270912,0.0,0,1.0,0,0.07649284928919564,1.0,0.0,1.0,0.07649284928919564,0.07649284928919564,1.011955564082958,1.011955564082958,1.011955564082958,1.011955564082958,0.0,0.0
2023-07-26,217897.3795039775,219563.98194099808,231886.6405570061,215883.7459283388,109938.0,25102283650.0,14508.0,2.025216349105437,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,44,uptrend_range_climax,0.0,0.0253569155639454,2,,,0.5846897283915844,,0.0728848806949021,,0.2299731453625013,0.0,0,1.0,0,0.013243023662933062,1.0,0.0,1.0,0.013243023662933062,0.013243023662933062,1.0253569155639455,1.0253569155639455,1.0253569155639455,1.0253569155639455,0.0,0.0
2023-07-27,224212.93941660432,217538.3747103608,225160.7397837765,216059.4902350215,48989.0,11093785100.0,15105.0,1.176569968274467,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,44,uptrend_range_climax,0.0,0.0806860679278607,3,,,0.1407356039159495,,0.0418374439032779,,0.1624924651738176,0.0,0,1.0,0,-0.00922558979269017,1.0,0.0,1.0,-0.00922558979269017,-0.00922558979269017,1.0158973932698545,1.0158973932698545,1.0253569155639455,1.0253569155639455,-0.00922558979269017,-0.00922558979269017
2023-07-28,216775.42920556173,220461.82341001357,223050.7575281323,215085.87048762976,46087.0,10413366450.0,14780.0,1.137255999052689,0.02,up_trend,1.0,2.0,up_trend,1.0,0,,,0,0,44,uptrend_range_climax,0.1553412915723476,0.017386379038405,4,,,-0.016107730815932,-1.2287294066127663,0.0361281917989469,-1.135594365880367,0.6749565806829857,0.1553412915723476,0,1.0,0,0.013438772370829577,1.0,0.0,1.0,0.013438772370829577,0.013438772370829577,1.0295498070901272,1.0295498070901272,1.0295498070901272,1.0295498070901272,0.0,0.0
2023-07-31,221490.2407221665,220703.6020638504,225488.57428381089,220546.55594969363,36088.0,8271107700.0,15505.0,0.8447978475536825,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,44,uptrend_range_climax,0.6833550736051144,0.0051903782796149,5,,,0.0664623311317562,-1.618370805351541,0.0223921054658976,-1.63128834541343,0.0317777279522843,0.6833550736051144,0,1.0,0,0.0010966917087824601,1.0,0.0,1.0,0.0010966917087824601,0.0010966917087824601,1.0306789058273416,1.0306789058273416,1.0306789058273416,1.0306789058273416,0.0,0.0
2023-08-01,221431.6312827727,221433.656545037,222372.0691414721,219016.3320117662,22147.0,5036496500.0,15676.0,0.3455711668003232,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,44,uptrend_range_climax,0.9125554724587036,0.0179061824832631,6,,,0.0371050654987481,-3.1226370886053787,0.0151545938502053,-1.109080896496891,0.7203557489268073,0.9125554724587036,0,1.0,0,0.0033078503221499744,1.0,0.0,1.0,0.0033078503221499744,0.0033078503221499744,1.0340882373780158,1.0340882373780158,1.0340882373780158,1.0340882373780158,0.0,0.0
2023-08-02,221531.3974879472,221913.28229665072,223201.0974371987,221412.91994504805,16943.0,3865140400.0,15675.0,0.0777876826569847,0.02,up_trend,1.0,2.0,up_trend,1.0,1,1.0,up_trend,1,0,44,uptrend_range_climax,1.5149160086495477,0.0065837198667169,7,1.0,,0.0587921709989274,-2.5165486962316828,0.0080580011869692,-1.0255668989260402,0.2798169386423046,1.5149160086495477,0,1.0,0,0.002166002039153403,1.0,0.0,1.0,0.002166002039153403,0.002166002039153403,1.0363280746088412,1.0363280746088412,1.0363280746088412,1.0363280746088412,0.0,0.0
2023-08-03,219951.91062587276,223249.91373998765,223650.94779554263,218380.141551352,21446.0,4863001100.0,16230.0,0.278676766271454,0.02,up_trend,1.0,2.0,down_trend,2.0,1,1.0,up_trend,1,0,44,uptrend_range_climax,1.7533886553274605,0.0115372456648921,8,1.0,,0.0456988289740873,-1.8229834397189315,0.0236094435867481,-0.4607685368118774,0.9239140964445453,1.7533886553274605,0,1.0,0,0.006023215147393124,1.0,0.0,1.0,0.006023215147393124,0.006023215147393124,1.042570101565494,1.042570101565494,1.042570101565494,1.042570101565494,0.0,0.0
